  7.3477484e+006 -5.0000000e+002  2.3827461e+002 -7.6759449e+002
  7.3477485e+006 -5.0000000e+002  2.3423426e+002 -7.6761096e+002
  7.3477486e+006 -5.0000000e+002  2.3019407e+002 -7.6762695e+002
  7.3477487e+006 -5.0000000e+002  2.2615405e+002 -7.6764302e+002
  7.3477488e+006 -5.0000000e+002  2.2211419e+002 -7.6765881e+002
  7.3477489e+006 -5.0000000e+002  2.1807448e+002 -7.6767442e+002
  7.3477490e+006 -5.0000000e+002  2.1403493e+002 -7.6768996e+002
  7.3477491e+006 -5.0000000e+002  2.0999553e+002 -7.6770507e+002
  7.3477492e+006 -5.0000000e+002  2.0595630e+002 -7.6772017e+002
  7.3477493e+006 -5.0000000e+002  2.0191724e+002 -7.6773487e+002
  7.3477494e+006 -5.0000000e+002  1.9787836e+002 -7.6774978e+002
  7.3477495e+006 -5.0000000e+002  1.9383966e+002 -7.6776449e+002
  7.3477496e+006 -5.0000000e+002  1.8980116e+002 -7.6777899e+002
  7.3477497e+006 -5.0000000e+002  1.8576285e+002 -7.6779380e+002
  7.3477498e+006 -5.0000000e+002  1.8172472e+002 -7.6780819e+002
  7.3477499e+006 -5.0000000e+002  1.7768680e+002 -7.6782266e+002
  7.3477500e+006 -5.0000000e+002  1.7364905e+002 -7.6783693e+002
  7.3477501e+006 -5.0000000e+002  1.6961150e+002 -7.6785103e+002
  7.3477502e+006 -5.0000000e+002  1.6557415e+002 -7.6786547e+002
  7.3477503e+006 -5.0000000e+002  1.6153698e+002 -7.6787951e+002
  7.3477504e+006 -5.0000000e+002  1.5750000e+002 -7.6789360e+002
  7.3477505e+006 -5.0000000e+002  1.5346320e+002 -7.6790746e+002
  7.3477506e+006 -5.0000000e+002  1.4942657e+002 -7.6792110e+002
  7.3477507e+006 -5.0000000e+002  1.4539013e+002 -7.6793495e+002
  7.3477508e+006 -5.0000000e+002  1.4135386e+002 -7.6794852e+002
  7.3477509e+006 -5.0000000e+002  1.3731778e+002 -7.6796218e+002
  7.3477510e+006 -5.0000000e+002  1.3328188e+002 -7.6797599e+002
  7.3477511e+006 -5.0000000e+002  1.2924619e+002 -7.6798953e+002
  7.3477512e+006 -5.0000000e+002  1.2521070e+002 -7.6800326e+002
  7.3477513e+006 -5.0000000e+002  1.2117543e+002 -7.6801688e+002
  7.3477514e+006 -5.0000000e+002  1.1714037e+002 -7.6803033e+002
  7.3477515e+006 -5.0000000e+002  1.1310554e+002 -7.6804396e+002
  7.3477516e+006 -5.0000000e+002  1.0907092e+002 -7.6805725e+002
  7.3477517e+006 -5.0000000e+002  1.0503652e+002 -7.6807053e+002
  7.3477518e+006 -5.0000000e+002  1.0100234e+002 -7.6808386e+002
  7.3477519e+006 -5.0000000e+002  9.6968371e+001 -7.6809682e+002
  7.3477520e+006 -5.0000000e+002  9.2934619e+001 -7.6810988e+002
  7.3477521e+006 -5.0000000e+002  8.8901076e+001 -7.6812276e+002
